Date,Total,Coronavirus
2020-03-23T18:40:41-05:00,151387,100
2020-03-23T19:10:47-05:00,151387,100
2020-03-23T19:40:53-05:00,151387,100
2020-03-23T20:11:00-05:00,151387,100
2020-03-23T20:41:06-05:00,151387,100
2020-03-23T21:11:12-05:00,151387,100
2020-03-23T21:41:18-05:00,151387,100
2020-03-23T22:11:29-05:00,152251,100
2020-03-23T22:41:35-05:00,152251,100
2020-03-23T23:11:41-05:00,152251,100
2020-03-23T23:41:47-05:00,152251,100
2020-03-24T00:11:53-05:00,152251,100
2020-03-24T00:41:59-05:00,152251,100
2020-03-24T01:12:05-05:00,152251,100
2020-03-24T01:42:11-05:00,152251,100
2020-03-24T02:12:19-05:00,153153,99
2020-03-24T02:42:25-05:00,153153,99
2020-03-24T03:12:31-05:00,153153,99
2020-03-24T03:42:37-05:00,153153,99
2020-03-24T04:12:43-05:00,153153,99
2020-03-24T04:42:49-05:00,153153,99
2020-03-24T05:12:55-05:00,153153,99
2020-03-24T05:43:01-05:00,153153,99
2020-03-24T06:13:08-05:00,154041,102
2020-03-24T06:43:14-05:00,154041,102
2020-03-24T07:13:20-05:00,154041,102
2020-03-24T07:43:26-05:00,154041,102
2020-03-24T08:13:32-05:00,154041,102
2020-03-24T08:43:38-05:00,154041,102
2020-03-24T09:13:44-05:00,154041,102
2020-03-24T09:43:50-05:00,154041,102
2020-03-24T10:13:58-05:00,154964,102
2020-03-24T10:44:04-05:00,154964,102
2020-03-24T11:14:10-05:00,154964,102
2020-03-24T11:44:16-05:00,154964,102
2020-03-24T12:14:22-05:00,154964,102
2020-03-24T12:44:28-05:00,154964,102
2020-03-24T13:14:34-05:00,154964,102
2020-03-24T13:44:40-05:00,154964,102
2020-03-24T14:14:50-05:00,155966,105
2020-03-24T14:44:56-05:00,155966,105
2020-03-24T15:15:02-05:00,155966,105
2020-03-24T15:45:08-05:00,155966,105
2020-03-24T16:15:15-05:00,155966,105
2020-03-24T16:45:21-05:00,155966,105
2020-03-24T17:15:27-05:00,155966,105
2020-03-24T17:45:33-05:00,155966,105
2020-03-24T18:15:41-05:00,156991,107
2020-03-24T18:45:48-05:00,156991,107
2020-03-24T19:15:54-05:00,156991,107
2020-03-24T19:46:00-05:00,156991,107
2020-03-24T20:16:06-05:00,156991,107
2020-03-24T20:46:12-05:00,156991,107
2020-03-24T21:16:18-05:00,156991,107
2020-03-24T21:46:24-05:00,156991,107
2020-03-24T22:16:31-05:00,157851,110
2020-03-24T22:46:37-05:00,157851,110
2020-03-24T23:16:43-05:00,157851,110
2020-03-24T23:46:49-05:00,157851,110
2020-03-25T00:16:55-05:00,157851,110
2020-03-25T00:47:01-05:00,157851,110
2020-03-25T01:17:07-05:00,157851,110
2020-03-25T01:47:14-05:00,157851,110
2020-03-25T02:17:22-05:00,157737,111
2020-03-25T02:47:28-05:00,157737,111
2020-03-25T03:17:34-05:00,157737,111
2020-03-25T03:47:40-05:00,157737,111
2020-03-25T04:17:46-05:00,157737,111
2020-03-25T04:47:52-05:00,157737,111
2020-03-25T05:17:58-05:00,157737,111
2020-03-25T05:48:04-05:00,157737,111
2020-03-25T06:18:11-05:00,158656,111
2020-03-25T06:48:17-05:00,158656,111
2020-03-25T07:18:23-05:00,158656,111
2020-03-25T07:48:29-05:00,158656,111
2020-03-25T08:18:35-05:00,158656,111
2020-03-25T08:48:41-05:00,158656,111
2020-03-25T09:18:47-05:00,158656,111
2020-03-25T09:48:53-05:00,158656,111
2020-03-25T10:19:00-05:00,159600,112
2020-03-25T10:49:06-05:00,159600,112
2020-03-25T11:19:12-05:00,159600,112
2020-03-25T11:49:18-05:00,159600,112
2020-03-25T12:19:24-05:00,159600,112
2020-03-25T12:49:30-05:00,159600,112
2020-03-25T13:19:36-05:00,159600,112
2020-03-25T13:49:42-05:00,159600,112
2020-03-25T14:19:51-05:00,160619,114
2020-03-25T14:49:57-05:00,160619,114
2020-03-25T15:20:03-05:00,160619,114
2020-03-25T15:50:09-05:00,160619,114
2020-03-25T16:20:15-05:00,160619,114
2020-03-25T16:50:21-05:00,160619,114
2020-03-25T17:20:27-05:00,160619,114
2020-03-25T17:50:33-05:00,160619,114
2020-03-25T18:20:41-05:00,161711,116
2020-03-25T18:50:48-05:00,161711,116
2020-03-25T19:20:54-05:00,161711,116
2020-03-25T19:51:00-05:00,161711,116
2020-03-25T20:21:06-05:00,161711,116
2020-03-25T20:51:12-05:00,161711,116
2020-03-25T21:21:18-05:00,161711,116
2020-03-25T21:51:24-05:00,161711,116
2020-03-25T22:21:30-05:00,162238,118
2020-03-25T22:51:36-05:00,162238,118
2020-03-25T23:21:42-05:00,162238,118
2020-03-25T23:51:48-05:00,162238,118
2020-03-26T00:21:54-05:00,162238,118
2020-03-26T00:52:00-05:00,162238,118
2020-03-26T01:22:06-05:00,162238,118
2020-03-26T01:52:12-05:00,162238,118
2020-03-26T02:22:25-05:00,161543,120
2020-03-26T02:52:31-05:00,161543,120
2020-03-26T03:22:37-05:00,161543,120
2020-03-26T03:52:43-05:00,161543,120
2020-03-26T04:22:49-05:00,161543,120
2020-03-26T04:52:55-05:00,161543,120
2020-03-26T05:23:01-05:00,161543,120
2020-03-26T05:53:07-05:00,161543,120
2020-03-26T06:23:13-05:00,162495,123
2020-03-26T06:53:20-05:00,162495,123
2020-03-26T07:23:26-05:00,162495,123
2020-03-26T07:53:32-05:00,162495,123
2020-03-26T08:23:39-05:00,162495,123
2020-03-26T08:53:45-05:00,162495,123
2020-03-26T09:23:51-05:00,162495,123
2020-03-26T09:53:57-05:00,162495,123
2020-03-26T10:24:04-05:00,163441,123
2020-03-26T10:54:10-05:00,163441,123
2020-03-26T11:24:16-05:00,163441,123
2020-03-26T11:54:22-05:00,163441,123
2020-03-26T12:24:28-05:00,163441,123
2020-03-26T12:54:34-05:00,163441,123
2020-03-26T13:24:40-05:00,163441,123
2020-03-26T13:54:46-05:00,163441,123
2020-03-26T14:24:56-05:00,164415,128
2020-03-26T14:55:03-05:00,164415,128
2020-03-26T15:25:09-05:00,164415,128
2020-03-26T15:55:15-05:00,164415,128
2020-03-26T16:25:24-05:00,164415,128
2020-03-26T16:55:31-05:00,164415,128
2020-03-26T17:25:37-05:00,164415,128
2020-03-26T17:55:43-05:00,164415,128
2020-03-26T18:25:50-05:00,165392,129
2020-03-26T18:55:56-05:00,165392,129
2020-03-26T19:26:02-05:00,165392,129
2020-03-26T19:56:08-05:00,165392,129
2020-03-26T20:26:14-05:00,165392,129
2020-03-26T20:56:20-05:00,165392,129
2020-03-26T21:26:26-05:00,165392,129
2020-03-26T21:56:32-05:00,165392,129
2020-03-26T22:26:38-05:00,165929,133
2020-03-26T22:56:44-05:00,165929,133
2020-03-26T23:26:50-05:00,165929,133
2020-03-26T23:56:56-05:00,165929,133
2020-03-27T00:27:02-05:00,165929,133
2020-03-27T00:57:08-05:00,165929,133
2020-03-27T01:27:14-05:00,165929,133
2020-03-27T01:57:20-05:00,165929,133
2020-03-27T02:27:27-05:00,164585,133
2020-03-27T02:57:34-05:00,164585,133
2020-03-27T03:27:43-05:00,164585,133
2020-03-27T03:57:49-05:00,164585,133
2020-03-27T04:27:55-05:00,164585,133
2020-03-27T04:58:01-05:00,164585,133
2020-03-27T05:28:07-05:00,164585,133
2020-03-27T05:58:13-05:00,164585,133
2020-03-27T06:28:19-05:00,165473,134
2020-03-27T06:58:25-05:00,165473,134
2020-03-27T07:28:31-05:00,165473,134
2020-03-27T07:58:37-05:00,165473,134
2020-03-27T08:28:44-05:00,165473,134
2020-03-27T08:58:50-05:00,165473,134
2020-03-27T09:28:56-05:00,165473,134
2020-03-27T09:59:03-05:00,165473,134
2020-03-27T10:30:09-05:00,,
2020-03-27T11:00:16-05:00,166153,135
2020-03-27T11:30:22-05:00,166153,135
2020-03-27T12:00:28-05:00,166153,135
2020-03-27T12:30:34-05:00,166153,135
2020-03-27T13:00:40-05:00,166153,135
2020-03-27T13:30:46-05:00,166153,135
2020-03-27T14:00:52-05:00,166153,135
2020-03-27T14:30:58-05:00,166153,135
2020-03-27T15:01:04-05:00,167056,136
2020-03-27T15:31:10-05:00,167056,136
2020-03-27T16:01:16-05:00,167056,136
2020-03-27T16:31:22-05:00,167056,136
2020-03-27T17:01:28-05:00,167056,136
2020-03-27T17:31:34-05:00,167056,136
2020-03-27T18:01:40-05:00,167056,136
2020-03-27T18:31:46-05:00,167056,136
2020-03-27T19:01:53-05:00,168008,137
2020-03-27T19:31:59-05:00,168008,137
2020-03-27T20:02:05-05:00,168008,137
2020-03-27T20:32:11-05:00,168008,137
2020-03-27T21:02:17-05:00,168008,137
2020-03-27T21:32:23-05:00,168008,137
2020-03-27T22:02:29-05:00,168008,137
2020-03-27T22:32:35-05:00,168008,137
2020-03-27T23:02:42-05:00,168502,138
2020-03-27T23:32:48-05:00,168502,138
